id,photo_url,thumb_url
125,https://pe.tedcdn.com/images/ted/8623_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/dfc244d5b81ab35ce80a3c4f19877b23f8be7a27_2880x1620.jpg?quality=89&w=600
126,https://pe.tedcdn.com/images/ted/9020_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/372_480x360.jpg?quality=89&w=600
127,https://pe.tedcdn.com/images/ted/8168f1c24db173f854f850252e1364c68c0a101f_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/fc9f4b8e-ed59-4a51-85fc-56d67cfba1cd/NgoziOkonjoIweala_2007-embed.jpg?quality=89&w=600
128,https://pe.tedcdn.com/images/ted/181bced9689de2976250415c898c1cf26bba9320_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/29a5aa128f9a31d66cd97b6e0549e971d6da02cb_1600x1200.jpg?quality=89&w=600
129,https://pe.tedcdn.com/images/ted/f7e78d22acfe4f2df8252c78e1baaf6dc578058a_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/5824aa5b8d490ed3863ee1f8c26731a6ebbfcefe_1600x1200.jpg?quality=89&w=600
130,https://pe.tedcdn.com/images/ted/70e41d1b0acefcea23b53c503ae979b18f4e9cf5_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/a6a1778b-aee0-495a-ad91-1cdeb5f931b2/RobertThurman_2006S-embed.jpg?quality=89&w=600
131,https://pe.tedcdn.com/images/ted/8184_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/8186_480x360.jpg?quality=89&w=600
139,https://pe.tedcdn.com/images/ted/10982_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/10978_480x360.jpg?quality=89&w=600
140,https://pe.tedcdn.com/images/ted/2bd4d0cfff0c3a3306650768c2f988e154db7042_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/875f9b7a-1ff5-4d5d-a8f2-08c4103029ec/HansRosling_2007-embed.jpg?quality=89&w=600
141,https://pe.tedcdn.com/images/ted/11836_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/dfc53747-b441-46ae-836f-15aa79b78c67/BillStone_2007-embed.jpg?quality=89&w=600
142,https://pe.tedcdn.com/images/ted/68eb1bda1f48ec25069445868ed55eacacf02328_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/cbad9c73-20cd-4aaf-870a-bff718de79d6/AlanRussell_2006-embed.jpg?quality=89&w=600
143,https://pe.tedcdn.com/images/ted/1d32583f3ba5e1417cbbc73238dc4b88024e154c_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/e58b968c458adc84ee220376f1e5eb1e1d6c55e9_2880x1620.jpg?quality=89&w=600
144,https://pe.tedcdn.com/images/ted/12752_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/12753_480x360.jpg?quality=89&w=600
145,https://pe.tedcdn.com/images/ted/5684cdf77548fe6deaa1b865e95fa233fffd9fe7_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/29333ffe97803b733ce8a21f90c0b0e738a3adc5_1600x1200.jpg?quality=89&w=600
146,https://pe.tedcdn.com/images/ted/13193_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/0aa66122bf487af64e943f4e4c3810fdd4d13c2a_1600x1200.jpg?quality=89&w=600
147,https://pe.tedcdn.com/images/ted/13339_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/13343_480x360.jpg?quality=89&w=600
